,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
VISp1,116,508,1030,1456,1723,1830,1376,903,347,136,123,48,7,0,0,0
VISp2/3,594,1638,3640,4401,5611,4358,3643,2416,1130,675,362,95,93,6,0,0
VISp4,654,1174,2068,2560,3233,3293,2411,1554,813,517,281,113,56,28,7,4
VISp5,554,1748,2956,3627,3309,2478,1738,1212,723,350,104,80,20,11,0,0
VISp6a,99,368,770,699,682,505,312,203,24,17,26,9,0,0,0,0
VISp6b,0,28,22,81,73,89,64,32,4,3,0,0,0,0,0,0
