,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
IC,874,2367,3678,4031,2852,1765,786,302,169,37,11,0,0,0,0,0,0,0,0,0,0,0,0
IGL,123,213,121,284,162,138,176,201,108,61,39,5,8,0,0,5,0,0,0,0,0,0,0
ILA,495,1506,1985,2588,2230,1286,1072,617,307,79,13,24,0,0,0,0,0,0,0,0,0,0,0
IO,58,84,180,168,85,88,49,8,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IRN,66,162,125,120,123,27,43,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LA,502,1894,3339,4221,4001,3016,2000,913,430,145,184,45,7,0,0,0,0,0,0,0,0,0,0
LGd,268,427,609,942,1244,1224,1176,923,452,552,452,236,179,40,7,15,0,0,0,0,0,0,0
LGv,23,100,77,477,606,1008,971,771,553,519,371,224,100,43,8,0,0,0,0,0,0,0,0
LHA,342,1391,2414,2608,2051,1114,515,221,71,17,0,0,0,0,0,0,0,0,0,0,0,0,0
LP,57,323,888,1429,1652,1852,1424,855,516,269,118,74,61,10,3,0,0,0,0,0,0,0,0
LRN,0,3,9,16,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LSc,4219,13764,27367,35430,39422,34533,23297,14680,8262,3696,1832,972,673,240,107,41,0,0,0,0,0,0,0
LSr,9892,30412,53728,71247,71470,54762,34744,18487,9045,4756,1940,583,28,20,0,0,0,0,0,0,0,0,0
LSv,195,389,482,909,819,451,155,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MA,116,293,637,722,324,240,130,109,106,27,0,0,0,0,0,0,0,0,0,0,0,0,0
MARN,98,211,263,131,88,28,11,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MD,1024,2973,6067,9684,14046,15603,14410,11187,6775,3677,1845,748,333,110,66,0,0,0,0,0,0,0,0
MDRNd,16,107,233,57,38,13,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MDRNv,3,34,24,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEA,1299,3860,4686,4917,2765,1456,402,243,55,38,0,0,2,0,0,0,0,0,0,0,0,0,0
MG,620,936,780,486,268,267,265,389,33,180,28,0,3,0,5,0,0,0,0,0,0,0,0
MOB,2016,5119,6482,5354,3433,2458,1113,490,232,196,117,53,6,2,2,0,0,0,0,0,0,0,0
MOp,3543,14020,27732,38727,44214,41114,33858,23492,15175,9993,4992,3077,1627,895,741,370,148,115,122,27,0,12,14
MOs,7084,25778,48807,70548,80867,72228,57756,38495,24400,14744,7993,4654,3414,1799,850,555,361,120,75,15,0,0,0
MPN,320,833,514,323,145,90,9,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MPO,391,731,860,683,531,291,141,127,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MRN,1271,3453,5139,4439,3099,1523,571,294,18,34,6,0,0,0,0,0,0,0,0,0,0,0,0
MS,355,1345,2112,2283,1879,1343,1097,785,235,168,0,0,0,0,0,0,0,0,0,0,0,0,0
MV,118,373,387,337,85,98,8,12,50,16,0,0,0,0,0,0,0,0,0,0,0,0,0
NDB,146,954,1389,1420,1429,871,496,359,75,24,0,0,0,0,0,0,0,0,0,0,0,0,0
NLL,0,10,10,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NLOT,221,389,451,663,481,359,279,92,25,3,0,0,0,0,0,0,0,0,0,0,0,0,0
NTS,53,141,179,153,112,56,22,12,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ORBl,6257,16452,32159,42014,41206,34861,24142,15078,9297,4807,2710,1434,494,334,180,17,1,0,0,0,0,0,0
ORBm,1127,3479,6253,8759,9363,9463,6524,3926,2192,1183,780,357,193,35,0,0,0,0,0,0,0,0,0
ORBvl,1385,5599,9834,13331,12570,9837,6959,5184,2952,1857,1112,698,237,97,13,0,0,0,0,0,0,0,0
OT,7359,25677,45776,61066,62449,52362,35121,23222,11638,5867,2554,1328,577,367,233,163,55,62,12,0,0,0,0
PA,1419,3992,6925,7355,7890,6217,3933,2916,1233,689,447,113,64,90,0,0,0,0,0,0,0,0,0
PAA,152,364,428,550,536,382,262,217,133,72,6,0,0,0,0,0,0,0,0,0,0,0,0
PAG,2832,7054,10673,10446,5830,3081,1140,472,176,43,0,0,0,0,0,0,0,0,0,0,0,0,0
PAR,1531,3718,5825,6017,5127,3151,2377,1470,635,291,70,59,45,32,0,0,0,0,0,0,0,0,0
PARN,117,594,554,424,354,140,59,5,11,3,0,0,0,0,0,0,0,0,0,0,0,0,0
PB,357,1082,1301,1079,769,340,136,37,28,2,12,0,0,0,0,0,0,0,0,0,0,0,0
PERI,866,1504,2254,2728,2484,2073,1137,707,379,97,56,33,0,0,0,0,0,0,0,0,0,0,0
PFL,0,23,2,4,11,10,2,10,8,14,17,0,0,0,0,0,0,0,0,0,0,0,0
PG,1036,2832,3921,4340,2746,1574,671,397,54,25,16,0,0,0,0,0,0,0,0,0,0,0,0
PGRNd,16,0,58,47,2,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PGRNl,2,26,10,8,35,5,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PH,611,2102,2374,2139,1182,489,234,118,36,30,0,0,0,0,0,0,0,0,0,0,0,0,0
PIR,4466,13216,21442,25541,23073,17794,10846,6711,3392,1699,732,348,53,34,3,23,0,0,0,0,0,0,0
PL,1989,6723,12628,16861,17130,13754,8475,5815,3255,1622,654,155,190,37,38,35,0,0,0,0,0,0,0
PMv,673,1344,1896,1512,621,375,103,52,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PO,60,652,834,1354,1627,1901,2005,1600,1117,656,332,164,91,50,0,0,0,0,0,0,0,0,0
POST,1829,4230,6793,6644,4854,3035,1282,607,226,54,19,13,0,0,0,0,0,0,0,0,0,0,0
PRE,1743,4421,6497,6650,5519,3499,1706,902,535,252,36,0,0,0,0,0,0,0,0,0,0,0,0
PRNc,75,111,341,263,262,79,29,44,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0
PRNr,388,1325,1694,1890,514,217,74,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRP,72,129,380,219,93,54,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PSTN,121,525,1087,1125,1345,762,588,290,121,16,16,0,0,0,0,0,0,0,0,0,0,0,0
PSV,29,57,91,96,77,55,26,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PT,381,1198,2352,4636,5287,3938,2985,1747,1100,771,271,95,11,0,0,0,0,0,0,0,0,0,0
PVT,434,1251,2119,2342,2681,2460,1416,532,240,278,216,20,76,40,0,0,0,0,0,0,0,0,0
ProS,3140,7654,9174,11617,9623,7585,4531,2715,1073,813,380,52,5,0,8,0,0,0,0,0,0,0,0
RE,523,1437,3418,5756,5695,5783,3332,1775,1007,248,57,46,57,0,0,0,0,0,0,0,0,0,0
RSPagl,929,3331,6205,8814,9695,8415,6011,3936,2184,1014,452,254,126,91,17,13,35,15,0,0,0,0,0
RSPd,2016,5472,9488,12440,12967,10663,8200,5812,3589,1897,1215,719,380,155,65,1,7,0,0,0,0,0,0
RSPv,2309,7797,13344,19268,22802,22512,19282,14753,10189,6543,3875,2010,1125,431,237,144,52,16,14,0,0,0,0
RT,793,1975,2370,3418,3087,3318,1926,1581,653,388,444,124,56,10,3,0,0,0,0,0,0,0,0
SBPV,82,403,310,266,210,86,51,44,28,4,0,0,0,0,0,0,0,0,0,0,0,0,0
SCH,81,216,503,515,386,135,147,18,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SCm,3773,10734,15631,13911,9763,5562,2864,904,340,140,44,31,8,14,0,0,0,0,0,0,0,0,0
SCs,150,504,629,849,733,538,196,63,33,25,4,0,0,0,0,0,0,0,0,0,0,0,0
SF,2180,5919,9101,11402,10224,7235,5060,2635,657,459,247,45,0,0,0,0,0,0,0,0,0,0,0
SI,6964,22191,39809,51876,50900,40853,26002,16097,8487,3572,1568,670,616,226,96,63,22,30,0,0,0,0,0
SIM,1,31,14,5,11,19,2,8,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
