Unnamed: 0,1,2,3,4,5,6,7,8,9,10,Classification
FRP,0.0175793991416309,0.0662660944206008,0.1294077253218884,0.1763776824034335,0.191862660944206,0.1349699570815451,0.0972017167381974,0.0915021459227468,0.0465922746781116,0.0312103004291845,Intermediate-preferring
MOp,0.013420047877337,0.0531044513802611,0.1050422714463197,0.1466887367049482,0.1674721978121874,0.1557301293900184,0.1282461137541286,0.0889821520559982,0.0574793188085209,0.0378511257234629,Distal-preferring
MOs,0.0153818427378116,0.0559730578903598,0.1059770748876868,0.1531843932054118,0.1755905528908266,0.1568322610483711,0.1254084852011646,0.0835861146516177,0.0529809377191706,0.0320143830217808,Distal-preferring
SSp-n,0.0163608033240997,0.0628570810249307,0.1129458102493074,0.1686612707756233,0.1650038954293629,0.1503960353185595,0.1192975242382271,0.0876255193905817,0.0583881578947368,0.0283176073407202,Intermediate-preferring
SSp-bfd,0.0180517764947976,0.0641022267366282,0.1208837476119552,0.1613870921903699,0.1748443494781826,0.1502613034119436,0.1163576462167581,0.0805225015657152,0.0538342920598497,0.0280881431932171,Intermediate-preferring
SSp-ll,0.0158206268241455,0.0554813016557104,0.0973241319112953,0.1437222116145222,0.1768091432312266,0.1792095141976487,0.1237282125419382,0.0832765063691661,0.0546629933717028,0.0274678813998527,Distal-preferring
SSp-m,0.0146281474285773,0.0524360438379381,0.110452588990911,0.1530555828265239,0.1691305268923325,0.1585379086554608,0.1213345665552288,0.0884354444507598,0.056962450460133,0.0343355844800057,Distal-preferring
SSp-ul,0.0159602748658273,0.0528264031699854,0.111511260470482,0.1341024226312885,0.1573155439634849,0.1696343481968199,0.1330089782815869,0.0876159903696644,0.059647890856197,0.0349099663941415,Distal-preferring
SSp-tr,0.0157294534014942,0.0722431324082916,0.1281950452221785,0.1817875400258412,0.1722936913656535,0.1521824616594573,0.1075220493230717,0.0867367001853828,0.0444918824785124,0.0168529857873153,Intermediate-preferring
SSp-un,0.0146603533054088,0.050112304983913,0.1147939051781703,0.1586839069993322,0.1808413767983973,0.1610210647726583,0.1256298184908638,0.0817701693680568,0.0534207491045953,0.026346142172039,Intermediate-preferring
