target_cell,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,18
SEU-ALLEN_local_15257_11828_9319_6464_CCFv3.swc,62,302,93,170,0,0,0,0,0,0,0,0,0,0,0,0,0
SEU-ALLEN_local_15257_12664_10213_6561_CCFv3.swc,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SEU-ALLEN_local_15257_12696_10181_6599_CCFv3.swc,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SEU-ALLEN_local_15257_12727_10075_6525_CCFv3.swc,21,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SEU-ALLEN_local_15257_12761_10139_6565_CCFv3.swc,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SEU-ALLEN_local_15257_6121_11044_5848_CCFv3.swc,71,197,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SEU-ALLEN_local_15257_6400_10326_5831_CCFv3.swc,0,20,65,67,0,0,0,0,0,0,0,0,0,0,0,0,0
SEU-ALLEN_local_15257_8339_8994_6371_CCFv3.swc,0,27,184,81,100,0,0,0,0,0,0,0,0,0,0,0,0
SEU-ALLEN_local_15257_9477_30398_6228_CCFv3.swc,56,88,26,104,15,5,2,0,0,0,0,0,0,0,0,0,0
SEU-ALLEN_local_17300_18972_13650_5908_CCFv3.swc,41,133,81,105,180,3,0,0,0,0,0,0,0,0,0,0,0
SEU-ALLEN_local_17300_20794_14452_5920_CCFv3.swc,21,150,129,94,85,180,182,20,0,0,0,0,0,0,0,0,0
SEU-ALLEN_local_17300_24244_18410_5388_CCFv3.swc,13,23,206,203,214,86,0,0,0,0,0,0,0,0,0,0,0
SEU-ALLEN_local_17300_24612_19616_5167_CCFv3.swc,0,12,34,63,100,127,145,66,37,43,0,0,0,0,0,0,0
SEU-ALLEN_local_17300_24888_20028_5154_CCFv3.swc,1,22,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SEU-ALLEN_local_17300_24910_31532_5034_CCFv3.swc,0,10,0,13,14,57,112,18,7,0,0,0,0,0,0,0,0
SEU-ALLEN_local_17300_24942_31640_5092_CCFv3.swc,0,41,13,16,54,23,1,0,0,0,0,0,0,0,0,0,0
SEU-ALLEN_local_17300_25145_31938_5048_CCFv3.swc,4,29,30,74,66,33,13,15,0,0,0,0,0,0,0,0,0
SEU-ALLEN_local_17300_25530_32488_4870_CCFv3.swc,33,29,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SEU-ALLEN_local_17300_25590_20787_5613_CCFv3.swc,0,14,63,85,76,298,144,60,34,63,0,0,0,0,0,0,0
SEU-ALLEN_local_17300_25616_20786_5612_CCFv3.swc,36,80,97,139,277,171,88,84,0,0,0,0,0,0,0,0,0
SEU-ALLEN_local_17300_25636_37286_5102_CCFv3.swc,8,50,188,113,65,0,0,0,0,0,0,0,0,0,0,0,0
SEU-ALLEN_local_17300_25768_22926_5158_CCFv3.swc,0,0,42,56,29,69,131,41,10,67,10,0,0,0,0,0,0
SEU-ALLEN_local_17300_25789_32804_5128_CCFv3.swc,0,26,54,84,51,0,0,0,0,0,0,0,0,0,0,0,0
SEU-ALLEN_local_17300_25798_22934_5158_CCFv3.swc,2,47,29,45,26,7,0,0,0,0,0,0,0,0,0,0,0
SEU-ALLEN_local_17300_26021_33244_5180_CCFv3.swc,3,38,52,92,158,128,0,0,0,0,0,0,0,0,0,0,0
SEU-ALLEN_local_17300_26196_35286_5088_CCFv3.swc,54,152,172,63,59,0,0,0,0,0,0,0,0,0,0,0,0
SEU-ALLEN_local_17300_26286_34540_5108_CCFv3.swc,57,24,148,287,128,41,29,0,0,0,0,0,0,0,0,0,0
SEU-ALLEN_local_17302_15370_13506_5724_CCFv3.swc,66,65,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SEU-ALLEN_local_17302_18182_13488_6150_CCFv3.swc,171,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SEU-ALLEN_local_17302_18392_13430_6152_CCFv3.swc,0,142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SEU-ALLEN_local_17539_19704_5146_5719_CCFv3.swc,62,21,76,87,69,4,1,0,0,0,0,0,0,0,0,0,0
SEU-ALLEN_local_17539_19845_4952_5621_CCFv3.swc,0,3,7,5,23,21,9,10,4,0,2,0,0,0,0,0,0
SEU-ALLEN_local_17542_11449_12235_6916_CCFv3.swc,0,39,15,113,51,0,0,0,0,0,0,0,0,0,0,0,0
SEU-ALLEN_local_17542_11655_12316_6839_CCFv3.swc,0,17,72,71,64,34,38,25,28,0,0,0,0,0,0,0,0
SEU-ALLEN_local_17542_11701_12622_6802_CCFv3.swc,0,47,19,76,15,16,0,0,0,0,0,0,0,0,0,0,0
SEU-ALLEN_local_17542_11799_11882_6871_CCFv3.swc,0,56,23,70,110,105,80,38,4,16,28,0,0,0,0,0,0
SEU-ALLEN_local_17542_11826_12003_6856_CCFv3.swc,14,141,111,25,76,115,63,0,0,0,0,0,0,0,0,0,0
SEU-ALLEN_local_17542_11939_12080_6861_CCFv3.swc,0,17,90,109,11,13,2,0,0,0,0,0,0,0,0,0,0
SEU-ALLEN_local_17542_12067_11915_6836_CCFv3.swc,1,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
