target_cell,1,2,3,4,5,6,7,8,9,10
SEU-ALLEN_local_15257_17748_24715_5117_CCFv3.swc,0,1,0,0,1,1,0,0,0,0
SEU-ALLEN_local_15257_17775_14422_5001_CCFv3.swc,0,0,0,0,1,0,0,0,0,0
SEU-ALLEN_local_15257_17818_14379_5012_CCFv3.swc,0,1,0,0,1,1,4,1,0,0
SEU-ALLEN_local_15257_17841_14007_4922_CCFv3.swc,0,0,1,1,0,0,0,0,0,0
SEU-ALLEN_local_15257_17848_24833_5234_CCFv3.swc,0,0,0,0,1,3,4,1,3,0
SEU-ALLEN_local_15257_18166_22293_4683_CCFv3.swc,0,0,0,0,0,2,0,0,0,0
SEU-ALLEN_local_17051_9907_6626_3670_CCFv3.swc,0,0,0,0,4,2,0,0,0,0
SEU-ALLEN_local_17052_10781_4918_4557_CCFv3.swc,0,2,0,0,0,0,0,0,0,0
SEU-ALLEN_local_17052_21996_2746_4846_CCFv3.swc,0,1,0,0,0,0,0,0,0,0
SEU-ALLEN_local_17052_22363_3022_4669_CCFv3.swc,0,1,0,0,0,0,0,0,0,0
SEU-ALLEN_local_17052_22369_3036_5550_CCFv3.swc,1,0,0,0,0,0,0,0,0,0
SEU-ALLEN_local_17052_24921_3826_4886_CCFv3.swc,1,0,1,4,0,0,0,0,0,0
SEU-ALLEN_local_17052_25883_5306_4143_CCFv3.swc,0,0,1,0,0,0,0,0,0,0
SEU-ALLEN_local_17052_26035_4047_5990_CCFv3.swc,1,0,0,0,0,0,0,0,0,0
SEU-ALLEN_local_17052_26301_4708_4835_CCFv3.swc,0,2,0,0,0,0,0,0,0,0
SEU-ALLEN_local_17052_26313_4633_4843_CCFv3.swc,0,2,0,0,0,0,0,0,0,0
SEU-ALLEN_local_17052_27229_7656_3422_CCFv3.swc,0,0,2,4,0,0,0,0,0,0
SEU-ALLEN_local_17052_27308_7870_3448_CCFv3.swc,0,0,0,3,0,0,0,0,0,0
SEU-ALLEN_local_17052_27552_8244_3465_CCFv3.swc,0,1,1,2,0,0,0,0,0,0
SEU-ALLEN_local_17052_27824_3938_5941_CCFv3.swc,0,0,1,0,0,0,0,0,0,0
SEU-ALLEN_local_17052_27828_7599_3827_CCFv3.swc,0,2,2,0,0,0,0,0,0,0
SEU-ALLEN_local_17052_28268_4665_5677_CCFv3.swc,0,4,1,1,4,0,0,0,0,0
SEU-ALLEN_local_17052_28509_7124_4712_CCFv3.swc,0,3,0,0,0,0,0,0,0,0
SEU-ALLEN_local_17052_5176_7390_4599_CCFv3.swc,0,0,1,0,0,0,0,0,0,0
SEU-ALLEN_local_17052_5281_8284_4335_CCFv3.swc,0,1,0,0,0,0,0,0,0,0
SEU-ALLEN_local_17052_6182_6928_4742_CCFv3.swc,0,1,0,0,0,0,0,0,0,0
SEU-ALLEN_local_17052_8887_5821_4149_CCFv3.swc,4,1,0,0,0,0,0,0,0,0
SEU-ALLEN_local_17052_9933_3896_4610_CCFv3.swc,0,2,3,0,0,0,0,0,0,0
SEU-ALLEN_local_17109_6760_6209_4162_CCFv3.swc,0,0,0,1,0,0,0,1,0,0
SEU-ALLEN_local_17300_20448_14614_2752_CCFv3.swc,0,0,1,0,1,2,0,0,0,0
SEU-ALLEN_local_17300_20493_14876_2608_CCFv3.swc,0,0,1,0,0,2,0,0,0,0
SEU-ALLEN_local_17300_20514_15176_2605_CCFv3.swc,1,1,0,0,0,0,0,0,0,0
SEU-ALLEN_local_17300_20550_15390_2613_CCFv3.swc,0,0,0,0,0,0,1,0,0,1
SEU-ALLEN_local_17300_20824_15712_2490_CCFv3.swc,0,0,0,1,1,0,0,0,0,0
SEU-ALLEN_local_17300_21171_14216_3031_CCFv3.swc,2,2,1,1,5,6,8,2,1,0
SEU-ALLEN_local_17300_21290_15936_2486_CCFv3.swc,0,0,0,1,0,2,0,0,0,0
SEU-ALLEN_local_17300_21304_14640_2965_CCFv3.swc,0,1,1,2,0,0,0,0,0,0
SEU-ALLEN_local_17300_21378_15328_2740_CCFv3.swc,0,0,1,0,3,0,0,1,0,1
SEU-ALLEN_local_17300_21478_15198_2753_CCFv3.swc,0,0,0,1,1,1,0,0,0,0
SEU-ALLEN_local_17300_21487_14173_2736_CCFv3.swc,0,0,2,0,0,0,0,0,0,0
SEU-ALLEN_local_17300_21494_14529_2862_CCFv3.swc,0,0,1,1,0,0,0,0,0,0
SEU-ALLEN_local_17300_21830_12724_3367_CCFv3.swc,1,0,0,1,2,0,0,0,0,0
SEU-ALLEN_local_17300_21986_13440_3057_CCFv3.swc,0,1,0,0,2,0,0,0,0,0
SEU-ALLEN_local_17300_22018_16144_2454_CCFv3.swc,0,0,0,1,0,1,0,0,0,0
SEU-ALLEN_local_17300_22117_43966_3194_CCFv3.swc,0,0,0,0,2,0,0,0,0,0
SEU-ALLEN_local_17300_22338_43734_3239_CCFv3.swc,0,0,1,3,3,0,0,0,0,2
SEU-ALLEN_local_17300_22344_43520_3334_CCFv3.swc,0,1,0,0,0,0,0,0,0,0
SEU-ALLEN_local_17300_22408_15784_2616_CCFv3.swc,0,0,0,0,1,0,3,0,2,0
