PRE,2,10,4,8,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PT,0,1,2,7,4,6,7,6,0,1,1,0,0,0,0,0,0,0,0,0,0,0
ProS,2,5,13,7,3,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RE,0,5,2,1,2,13,0,2,3,4,0,0,0,0,0,0,0,0,0,0,0,0
RSPagl,29,67,162,232,267,218,217,127,72,42,14,10,2,2,1,0,1,0,0,0,0,0
RSPd,15,42,89,138,169,150,99,81,43,25,17,11,9,2,1,0,0,0,0,0,0,0
RSPv,18,63,105,174,222,270,297,198,141,83,53,33,13,4,7,3,3,0,0,0,0,0
RT,9,21,22,46,33,44,35,36,18,7,15,5,1,0,0,0,0,0,0,0,0,0
SCm,13,32,56,55,45,20,11,6,0,3,0,0,0,0,0,0,0,0,0,0,0,0
SCs,1,4,6,2,6,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SI,3,23,51,66,83,71,28,40,9,1,1,1,0,0,0,0,0,0,0,0,0,0
SNr,3,5,6,12,7,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPVC,0,3,6,6,6,5,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
SPVO,0,4,2,4,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSp-bfd,180,694,1292,1746,1909,1760,1338,958,674,347,175,94,63,21,8,4,0,2,1,1,1,0
SSp-ll,16,91,134,219,259,283,209,150,92,53,49,18,11,1,4,0,1,1,0,0,0,0
SSp-m,121,471,1082,1551,1791,1752,1351,1050,665,379,201,136,71,44,23,9,4,4,1,0,0,0
SSp-n,81,307,632,907,971,904,695,560,383,170,111,59,36,8,1,0,0,0,0,0,0,0
SSp-tr,10,57,79,116,83,71,77,57,28,10,9,2,2,1,0,0,0,0,0,0,0,0
SSp-ul,89,255,576,717,843,954,803,506,318,191,126,47,30,11,8,2,2,0,0,0,0,0
SSp-un,19,69,174,294,291,295,196,157,108,64,26,24,9,0,0,1,2,0,1,0,0,0
SSs,116,495,976,1450,1654,1554,1270,809,490,325,191,107,40,28,8,8,3,0,0,0,0,0
SUB,4,4,5,10,10,13,9,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0
TEa,28,60,114,102,154,118,64,30,13,2,1,2,1,0,0,0,0,0,0,0,0,0
TR,3,11,10,11,25,7,6,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
TRN,2,5,11,7,10,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TT,0,1,6,1,4,5,7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
VAL,2,2,4,6,6,15,4,13,5,5,1,2,1,0,0,0,0,0,0,0,0,0
VISC,23,102,146,187,223,182,165,75,64,24,3,6,2,0,1,0,0,0,0,0,0,0
VISa,5,30,56,86,114,74,57,44,29,16,16,7,2,1,0,0,0,0,0,0,0,0
VISal,4,17,37,96,78,68,38,42,8,7,3,0,2,1,1,0,0,0,0,0,0,0
VISam,4,15,52,62,82,71,63,54,44,11,11,3,5,4,0,0,0,0,0,0,0,0
VISl,10,27,56,89,129,147,132,52,37,16,5,5,1,1,3,0,0,0,0,0,0,0
VISli,5,14,22,19,23,25,9,3,5,1,1,0,0,0,0,0,0,0,0,0,0,0
VISp,155,338,768,991,1161,1031,758,502,267,165,82,28,16,1,2,0,0,0,0,0,0,0
VISpl,10,24,74,94,68,59,45,35,31,8,4,0,0,0,0,0,0,0,0,0,0,0
VISpm,13,39,69,111,106,118,98,45,38,13,12,9,0,5,1,0,0,0,0,0,0,0
VISpor,5,20,28,48,48,48,21,13,12,9,2,1,1,0,0,0,0,0,0,0,0,0
VISrl,11,46,82,138,139,164,112,90,64,34,25,8,3,0,0,0,0,0,0,0,0,0
VM,0,10,13,14,28,27,28,27,15,9,1,0,0,1,0,0,0,0,0,0,0,0
VPL,9,25,36,55,67,76,55,44,46,19,8,4,1,1,0,0,0,0,0,0,0,0
VPM,3,42,64,137,162,165,183,122,108,57,31,12,10,2,5,0,0,0,0,0,0,0
ZI,2,0,7,8,10,8,14,4,0,0,0,1,0,2,0,0,0,0,0,0,0,0
