,1,2,3,4,5,6,7,8,9,10
FRP,0.017579399141630904,0.06626609442060089,0.12940772532188846,0.17637768240343354,0.19186266094420606,0.1349699570815451,0.09720171673819746,0.0915021459227468,0.0465922746781116,0.03121030042918456
MOp,0.013420047877337048,0.05310445138026119,0.10504227144631978,0.14668873670494828,0.16747219781218747,0.15573012939001846,0.12824611375412864,0.08898215205599828,0.05747931880852094,0.03785112572346292
MOs,0.015381842737811664,0.05597305789035984,0.10597707488768689,0.15318439320541183,0.17559055289082665,0.1568322610483711,0.12540848520116465,0.08358611465161774,0.05298093771917061,0.03201438302178081
SSp-n,0.016360803324099723,0.06285708102493075,0.11294581024930749,0.1686612707756233,0.16500389542936292,0.15039603531855958,0.11929752423822716,0.08762551939058172,0.05838815789473685,0.028317607340720224
SSp-bfd,0.01805177649479761,0.06410222673662826,0.12088374761195521,0.16138709219036992,0.1748443494781826,0.15026130341194363,0.11635764621675813,0.08052250156571529,0.05383429205984979,0.028088143193217157
SSp-ll,0.015820626824145548,0.05548130165571042,0.09732413191129537,0.14372221161452223,0.17680914323122662,0.17920951419764872,0.12372821254193828,0.08327650636916614,0.05466299337170289,0.027467881399852703
SSp-m,0.014628147428577333,0.0524360438379381,0.11045258899091101,0.15305558282652393,0.1691305268923325,0.15853790865546086,0.12133456655522887,0.08843544445075982,0.056962450460133,0.03433558448000579
SSp-ul,0.01596027486582735,0.05282640316998544,0.111511260470482,0.13410242263128852,0.15731554396348493,0.16963434819681994,0.13300897828158698,0.08761599036966443,0.05964789085619701,0.03490996639414154
SSp-tr,0.015729453401494294,0.07224313240829165,0.1281950452221785,0.1817875400258412,0.17229369136565356,0.1521824616594573,0.1075220493230717,0.08673670018538282,0.04449188247851243,0.016852985787315315
SSp-un,0.01466035330540885,0.050112304983913065,0.11479390517817034,0.15868390699933224,0.18084137679839737,0.1610210647726583,0.12562981849086383,0.08177016936805681,0.05342074910459539,0.02634614217203909
SSs,0.017115029015023053,0.06069295203360801,0.11735959029594471,0.1624585651836766,0.17507008768416657,0.15420994776443722,0.1233159782877302,0.08171073598459351,0.048302983306775286,0.02794986067676157
GU,0.0261648339190568,0.07436798548917356,0.13852170955673962,0.17484412198163476,0.17986622831878474,0.15918830064618525,0.1093866908513774,0.06821222083663984,0.037796168234894005,0.016370026074141255
VISC,0.023061355756710544,0.08267574478766296,0.12697864863592864,0.17288172818976202,0.19115824482688296,0.1565191472004769,0.1180364902812858,0.06549738794848062,0.035188177525375335,0.01750780477856392
AUDd,0.02232569245463228,0.06058978032473734,0.12225405921680993,0.1607569245463228,0.15419054441260743,0.17048710601719197,0.11246418338108882,0.07903533906399236,0.05211318051575931,0.03987583572110792
AUDp,0.022514504219409277,0.0690598628691983,0.12153876582278479,0.16656777426160332,0.1726331751054852,0.16518328059071727,0.11774789029535862,0.07255406118143458,0.044237869198312234,0.028711761603375522
AUDpo,0.02657555049354594,0.0900531511009871,0.13409263477600608,0.19225512528473807,0.18192862566438878,0.14912680334092634,0.10235383447228551,0.0595292331055429,0.03280182232346242,0.017767653758542144
AUDv,0.02723408230952492,0.0918858317372822,0.13486242817769886,0.1858270659130191,0.1667211659737469,0.15639744008969028,0.09683748306628673,0.06675386555799505,0.03129817349465128,0.02639323585742981
VISal,0.014576998747987839,0.05312108746199249,0.11214451797531748,0.21203720264711146,0.19871221606152747,0.17814344482203542,0.08415310320157396,0.08093364335539262,0.02682883205151136,0.0098372384188875
VISam,0.011358942585708385,0.050392399834779014,0.11002684840974804,0.12623915737298635,0.19108839322593968,0.18200123915737296,0.11704874019000412,0.08736059479553902,0.059118133002891364,0.031650144568360176
VISl,0.027834351663272233,0.06464509315833145,0.09481783208870785,0.16172588066681753,0.18390284378064417,0.1740212717809459,0.1439993965452214,0.06984989062382138,0.04684317718940937,0.016821301953684847
VISp,0.02536097908530921,0.06682058820876811,0.13112491995779182,0.16063456560755415,0.1832718549048963,0.15721642511205908,0.12014899124270602,0.07862625023674456,0.03780697877866864,0.02068921978012067
VISpl,0.026531299080098728,0.07437738389050932,0.14897913394660087,0.18269015032533095,0.17051828584249495,0.13989230424052054,0.09356069104779,0.0742652008077182,0.05440879515369083,0.017612743998205074
VISpm,0.020719155193156,0.07418794278839728,0.12605266675578133,0.18199438577730254,0.18085817404090368,0.15599518780911645,0.11542574522122713,0.06135543376553938,0.0435102259056276,0.01817938778238204
VISli,0.023048928427011724,0.11281843914274162,0.14799838253133846,0.18014557217953903,0.17387788111605337,0.15082895268904167,0.10574201374848362,0.05560048524059847,0.035988677719369186,0.006267691063485644
VISpor,0.027851503443641863,0.09675793717453383,0.1543759449017302,0.1743658659499412,0.16899042499580041,0.15457752393751048,0.08856038971946917,0.05294809339828657,0.03672098101797413,0.023584747186292623
ACAd,0.021268570102135557,0.06460654596100278,0.1277448932219127,0.18569521819870008,0.18669336118848653,0.14746402042711235,0.11120009285051068,0.07160515320334263,0.039670380687093776,0.023990250696378827
ACAv,0.02516119407932903,0.07060217798478394,0.13246921151646748,0.15853375544910572,0.16213057963567648,0.14886211068936364,0.11572823258358056,0.08190648257114914,0.04944390114534816,0.02879116871923223
PL,0.022258032027394497,0.07523416255413433,0.14131444366110493,0.1886841015655599,0.19169436331285458,0.1539150188561005,0.09484003088595694,0.06507313033650025,0.03642528619867727,0.018151094996698782
ILA,0.04056712014423865,0.1234223897721685,0.16267824946730045,0.21209637764300934,0.18275692509424685,0.10539255859695132,0.08785445009014915,0.05056548106867726,0.02515980986723488,0.00647434846746435
ORBl,0.027034734254222426,0.071084457080145,0.1389499790445164,0.18153065765652884,0.1780395172893542,0.15062455982682563,0.10431078062417097,0.06514779016863764,0.040169717813889394,0.02076969275372338
ORBm,0.021012790394152964,0.06486557034716785,0.1165864936420927,0.16331058656822164,0.17457209978744825,0.17643658873102883,0.12163925867919603,0.07319983592497296,0.040869597643285974,0.02205690420255808
ORBvl,0.019326030837926465,0.07812739831158864,0.1372217958557176,0.18601827949487199,0.17539942789367197,0.1372636572943557,0.09710458382753089,0.07233656596665039,0.04119165561989814,0.02591223051698877
AId,0.024137223042313152,0.07033371210914408,0.12893599396790673,0.17379791779502918,0.18815953895549914,0.15965046426586524,0.11432834552849847,0.06798317810605015,0.03800324968405849,0.019181277855066924
AIp,0.026958496556691487,0.0950309052557309,0.15857593285364655,0.1834103821080251,0.1828959069828974,0.15374721632209082,0.09594961083631608,0.057378675741027924,0.026943797267402123,0.010877474074128517
AIv,0.02269889413961788,0.07151682407919684,0.12946242108416742,0.17520572239558618,0.18276764685943964,0.155817630349165,0.109829408407338,0.07376047199704346,0.04301637250678452,0.020676112147407232
RSPagl,0.018025884316122398,0.06463317616469721,0.12039893668626425,0.17102276034693523,0.18811727496749908,0.16328074975260495,0.11663465083338186,0.07637231503579953,0.04237732114791315,0.019675184818673967
