target_cell,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
SEU-ALLEN_local_15257_15129_29046_5118_CCFv3.swc,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SEU-ALLEN_local_15257_15196_11700_4958_CCFv3.swc,18,12,10,17,9,17,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SEU-ALLEN_local_15257_15298_28113_4686_CCFv3.swc,0,1,20,32,23,15,3,13,28,17,18,0,0,0,0,0,0,0,0,0,0,0
SEU-ALLEN_local_15257_15299_9210_5084_CCFv3.swc,0,0,8,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SEU-ALLEN_local_15257_15302_9109_4835_CCFv3.swc,0,5,2,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SEU-ALLEN_local_15257_15306_25722_3663_CCFv3.swc,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SEU-ALLEN_local_15257_15321_27318_3990_CCFv3.swc,0,0,0,47,33,3,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SEU-ALLEN_local_15257_15378_11993_3984_CCFv3.swc,0,7,11,32,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SEU-ALLEN_local_15257_15381_12094_3872_CCFv3.swc,3,20,28,47,47,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SEU-ALLEN_local_15257_15500_10841_5521_CCFv3.swc,0,0,46,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SEU-ALLEN_local_15257_15563_26126_4220_CCFv3.swc,0,16,22,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SEU-ALLEN_local_15257_15568_10825_5421_CCFv3.swc,0,46,38,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SEU-ALLEN_local_15257_15593_28905_5249_CCFv3.swc,28,14,33,21,29,22,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SEU-ALLEN_local_15257_15636_28916_5111_CCFv3.swc,0,34,0,0,0,4,2,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0
SEU-ALLEN_local_15257_15741_13414_4425_CCFv3.swc,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SEU-ALLEN_local_15257_15751_28669_5904_CCFv3.swc,0,1,0,6,14,19,4,21,2,2,8,28,6,0,0,0,0,0,0,0,0,0
SEU-ALLEN_local_15257_15824_12208_4314_CCFv3.swc,0,5,5,47,13,34,10,14,5,0,0,0,0,0,0,0,0,0,0,0,0,0
SEU-ALLEN_local_15257_15942_28449_5729_CCFv3.swc,0,65,9,18,25,6,27,6,7,0,0,0,0,0,0,0,0,0,0,0,0,0
SEU-ALLEN_local_15257_16068_28550_5670_CCFv3.swc,0,31,17,150,47,9,39,11,12,0,0,0,0,0,0,0,0,0,0,0,0,0
