,x_umap,y_umap,x_sp,y_sp,region,soma_x,soma_y,soma_z,label,color
SEU-ALLEN_local_17542_11826_12003_6856_CCFv3,9.231077,0.9526614,0.10803014386676149,-0.35962217950819153,CA1,324.632,197.877,380.472,1,#66c2a5
SEU-ALLEN_local_17542_11939_12080_6861_CCFv3,10.831385,11.237382,-1.0283521472268364,-0.23343413084683093,CA1,325.125,196.61900000000003,379.31,2,#fc8d62
SEU-ALLEN_local_17542_12067_11915_6836_CCFv3,4.570337,13.785513,-3.8694568077109,0.14566418483139437,CA1,323.687,194.77700000000002,381.36199999999997,2,#fc8d62
SEU-ALLEN_local_17542_12111_11720_6856_CCFv3,9.79509,14.406548,-0.9684302827100911,0.5255589872997346,CA1,324.47900000000004,194.28,383.67596,2,#fc8d62
SEU-ALLEN_local_17542_20559_41911_6854_CCFv3,0.7767223,22.135742,2.1675595182105347,-0.8767500425012795,CA1,335.539,123.139,371.842,2,#fc8d62
SEU-ALLEN_local_17542_20657_41907_6940_CCFv3,14.282598,7.612777,-0.5466389614317264,-0.34574044827670664,CA1,340.39300000000003,122.76700000000001,371.967,2,#fc8d62
SEU-ALLEN_local_17542_20746_25604_5548_CCFv3,8.777148,4.97865,0.560254469587367,2.5427129419571197,CA1,271.699,93.32600000000001,243.89700000000002,1,#66c2a5
SEU-ALLEN_local_17542_21231_23421_5341_CCFv3,3.8287525,15.154497,-4.4242293628376315,-0.8803204835762042,CA1,261.579,84.363,263.193,2,#fc8d62
SEU-ALLEN_local_17542_21280_22195_5623_CCFv3,11.045675,15.197908,-1.0021765231998327,1.2214781733189097,CA1,276.603,84.602,273.203,2,#fc8d62
SEU-ALLEN_local_17542_21299_22909_5344_CCFv3,12.998391,16.10924,-0.08945917393837373,-0.1760149762346533,CA1,261.961,83.238,267.775,2,#fc8d62
SEU-ALLEN_local_17542_21371_23705_5445_CCFv3,13.954681,17.19844,-0.9527261793166351,-2.9640768123831207,CA1,266.895,83.333,260.226,2,#fc8d62
SEU-ALLEN_local_17542_21434_21948_5378_CCFv3,14.994717,1.6076105,0.03849635312208444,-0.31371489356681176,CA1,264.098,81.36,276.368,2,#fc8d62
SEU-ALLEN_local_17542_21453_17452_6018_CCFv3,11.796905,16.656885,0.6989707118976877,-0.5298145217081853,CA1,298.052,86.265,316.653,2,#fc8d62
SEU-ALLEN_local_17542_21485_17701_5967_CCFv3,10.092149,-4.6455417,4.186113932321655,-1.466462418476209,CA1,295.462,85.44200000000001,314.282,1,#66c2a5
SEU-ALLEN_local_17542_21523_23467_5487_CCFv3,12.956039,18.716635,-0.1018622325302632,-0.34891724225439275,CA1,269.265,81.56,262.121,2,#fc8d62
SEU-ALLEN_local_17542_21532_23037_5379_CCFv3,10.765707,9.10639,0.2998206199691012,1.016005706771184,CA1,263.816,80.65100000000001,266.408,1,#66c2a5
SEU-ALLEN_local_17542_21540_24434_5921_CCFv3,10.086965,6.0690303,0.4581839912621121,0.8028509309700669,CA1,292.10200000000003,85.387,252.24099999999999,1,#66c2a5
SEU-ALLEN_local_17542_21561_23767_5635_CCFv3,11.712812,16.175505,-2.1550522359014535,3.938856785589809,CA1,277.02099999999996,82.182,258.913,2,#fc8d62
SEU-ALLEN_local_17542_21635_24355_5940_CCFv3,8.620079,24.903814,-0.9419390050431692,-1.7870639292471409,CA1,293.204,84.34200000000001,252.824,2,#fc8d62
SEU-ALLEN_local_17542_21672_21784_5481_CCFv3,9.26093,24.279545,-1.046757289866302,-1.3462440127020738,CA1,269.624,78.83800000000001,277.405,2,#fc8d62
SEU-ALLEN_local_17542_21704_22896_5426_CCFv3,11.039172,15.408212,-0.700577286951618,2.552728526466656,CA1,266.382,78.71,267.439,2,#fc8d62
SEU-ALLEN_local_17542_21727_15329_5987_CCFv3,10.043965,-6.436836,5.142692527232829,-0.5420269974737283,CA1,295.562,83.145,339.52099999999996,1,#66c2a5
SEU-ALLEN_local_17542_21746_22105_5867_CCFv3,12.36654,19.162851,-2.0243595253746047,-0.8171440283592846,CA1,289.778,80.543,273.16,2,#fc8d62
SEU-ALLEN_local_17542_21748_24102_5801_CCFv3,10.641078,14.935477,-1.7487734778950597,1.3313392865254488,CA1,285.965,81.37100000000001,255.321,2,#fc8d62
SEU-ALLEN_local_17542_21788_15924_5906_CCFv3,9.432553,-2.1199594,2.912601206472466,1.650686901546951,CA1,292.053,82.15899999999999,332.98800000000006,1,#66c2a5
SEU-ALLEN_local_17542_21803_18517_5894_CCFv3,13.694818,9.582643,1.3999709707617916,-0.3106265556964114,CA1,291.849,80.134,306.747,2,#fc8d62
SEU-ALLEN_local_17542_21811_23294_5982_CCFv3,13.975397,8.924112,-1.2185450897846446,1.7165431653935908,CA1,295.723,81.775,262.058,2,#fc8d62
SEU-ALLEN_local_17542_21840_15996_5879_CCFv3,11.532222,-7.9234986,6.085281116592013,0.9890331196973664,CA1,290.695,81.40899999999999,332.305,1,#66c2a5
SEU-ALLEN_local_17542_21841_16704_5774_CCFv3,11.900189,-3.3811944,2.785427166810577,0.8702946228935377,CA1,285.685,80.904,324.885,1,#66c2a5
SEU-ALLEN_local_17542_21843_31706_5783_CCFv3,15.523562,14.30784,-2.298710167562598,-3.18364653764471,CA1,284.63596,88.863,261.27700000000004,2,#fc8d62
SEU-ALLEN_local_17542_21883_23081_5504_CCFv3,11.206133,12.718639,-0.7397600215409814,1.933090547184522,CA1,270.49,77.07300000000001,265.415,2,#fc8d62
SEU-ALLEN_local_17542_21909_16382_5837_CCFv3,3.8941379,2.1199198,2.5399372294158664,-2.341690830966809,CA1,288.907,80.28,328.26,1,#66c2a5
SEU-ALLEN_local_17542_21922_15911_5914_CCFv3,12.337145,-7.9481387,5.003319646713573,1.1611353652267655,CA1,292.415,80.436,333.309,1,#66c2a5
SEU-ALLEN_local_17542_21941_23375_5840_CCFv3,-0.6438375,18.585766,-5.490678264280441,3.6878625847282582,CA1,288.30400000000003,78.74,261.607,2,#fc8d62
SEU-ALLEN_local_17542_21960_16578_5800_CCFv3,8.830282,11.60676,-0.39926397094232463,1.8270386203713744,CA1,287.055,79.431,326.319,2,#fc8d62
SEU-ALLEN_local_17542_21978_22379_5604_CCFv3,12.657859,18.943995,-1.7845267288606725,-0.2366246124791967,CA1,276.038,75.942,271.434,2,#fc8d62
SEU-ALLEN_local_17542_22010_16196_5899_CCFv3,10.433695,-6.787433,4.130332858395628,-0.6169550291089156,CA1,291.97700000000003,79.16,330.30096,1,#66c2a5
SEU-ALLEN_local_17542_22010_22448_5962_CCFv3,13.66575,16.357481,-0.652602908139518,2.7270599824413133,CA1,294.95099999999996,78.352,269.776,2,#fc8d62
SEU-ALLEN_local_17542_22024_23724_5942_CCFv3,14.577864,7.877247,-3.281876539432574,-0.3358045696614694,CA1,293.76,79.018,258.20903999999996,2,#fc8d62
