ProS,2,5,14,7,3,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
RE,0,6,5,1,3,17,0,2,4,4,0,0,0,0,0,0,0,0,0,0,0
RSPagl,30,69,167,240,287,225,217,123,69,41,17,11,3,2,1,0,1,0,0,0,0
RSPd,17,47,95,144,176,150,109,90,48,29,17,10,10,2,1,0,0,0,0,0,0
RSPv,16,66,112,192,224,279,298,212,146,89,55,33,14,3,8,4,3,0,0,0,0
RT,9,22,26,50,33,46,35,32,20,8,16,4,1,0,0,0,0,0,0,0,0
SCm,12,34,70,61,42,23,13,6,0,3,0,0,0,0,0,0,0,0,0,0,0
SCs,1,5,6,2,6,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SI,2,28,57,69,94,74,28,39,8,1,1,0,0,0,0,0,0,0,0,0,0
SNr,3,4,7,12,8,3,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0
SPVC,0,3,7,9,6,5,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0
SPVO,0,5,2,3,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSp-bfd,198,752,1374,1834,2016,1832,1417,1019,699,361,194,95,61,24,9,4,0,2,1,1,0
SSp-ll,23,92,135,232,272,304,212,168,96,47,44,21,10,1,4,0,0,0,0,0,0
SSp-m,140,497,1126,1620,1925,1855,1427,1085,697,388,207,146,74,46,23,9,6,5,1,0,0
SSp-n,83,336,673,969,1047,967,746,603,415,179,116,60,38,9,1,0,0,0,0,0,0
SSp-tr,10,56,84,125,87,71,85,60,29,9,10,3,2,1,0,0,0,0,0,0,0
SSp-ul,108,278,603,748,882,994,824,526,326,191,122,54,34,12,8,2,3,0,1,0,0
SSp-un,24,75,175,325,309,316,211,167,121,64,28,25,8,2,0,1,2,0,1,0,0
SSs,131,517,1035,1568,1726,1618,1313,842,524,331,200,109,40,27,8,9,4,0,0,0,0
SUB,5,5,9,13,9,14,10,2,3,1,0,0,0,0,0,0,0,0,0,0,0
TEa,31,69,118,111,157,132,69,34,16,4,2,2,1,0,0,0,0,0,0,0,0
TR,3,12,10,12,22,7,6,1,1,1,0,0,0,0,0,0,0,0,0,0,0
TRN,2,7,10,7,11,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TT,0,1,6,1,4,6,7,3,1,0,0,0,0,0,0,0,0,0,0,0,0
VAL,5,1,5,7,5,17,4,13,6,4,2,2,1,0,0,0,0,0,0,0,0
VISC,27,110,165,197,234,196,174,84,67,23,6,5,3,0,1,0,0,0,0,0,0
VISa,4,33,56,98,116,77,63,46,33,15,16,6,2,1,0,0,0,0,0,0,0
VISal,4,18,33,101,84,76,39,45,8,9,3,0,2,1,1,0,0,0,0,0,0
VISam,5,13,58,65,93,76,62,52,48,12,13,4,5,4,0,0,0,0,0,0,0
VISl,11,28,61,91,149,158,140,58,39,21,6,6,2,1,4,0,0,0,0,0,0
VISli,5,11,23,20,26,22,9,3,6,1,1,0,0,0,0,0,0,0,0,0,0
VISp,158,359,812,1041,1224,1099,805,536,287,169,89,29,16,3,1,0,0,0,0,0,0
VISpl,12,28,84,104,73,56,44,38,31,5,7,0,0,0,0,0,0,0,0,0,0
VISpm,14,40,81,124,124,126,96,51,38,14,13,9,0,5,1,0,0,0,0,0,0
VISpor,5,22,30,50,51,50,20,15,12,9,2,2,1,0,0,0,0,0,0,0,0
VISrl,12,51,84,145,152,172,114,100,65,36,25,11,4,0,0,0,0,0,0,0,0
VM,0,10,15,15,32,31,30,26,18,8,2,0,0,1,0,0,0,0,0,0,0
VPL,9,29,38,54,66,79,53,48,47,18,9,5,1,1,0,0,0,0,0,0,0
VPM,3,49,71,146,173,169,186,126,115,59,32,11,12,2,5,0,0,0,0,0,0
ZI,2,0,9,8,10,10,13,4,0,0,0,1,0,2,0,0,0,0,0,0,0
